127.0.0.1 - - [03/Oct/2019:12:53:41 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:54:02 -0300] "GET /FazendoUtopia/index.xhtml HTTP/1.1" 200 12398
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:54:13 -0300] "GET /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 26804
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:54:16 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 6777
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:54:36 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1418
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:54:36 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:54:47 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:54:47 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:54:50 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:54:51 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:56:58 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1473
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:56:58 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 985
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/Script.js.xhtml?ln=js HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/inputnumber/inputnumber.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/inputnumber/inputnumber.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 23900
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:13 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:15 -0300] "GET /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 26801
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:16 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:21 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3698
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:23 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 6776
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:23 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 86
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:36 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:36 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:48 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:57:48 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:01 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:01 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:09 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1417
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:09 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:20 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:24 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:24 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 984
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:29 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 1472
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:34 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 11359
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:41 -0300] "POST /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 7141
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 26801
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/Script.js.xhtml?ln=js HTTP/1.1" 200 1192
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/theme.css.xhtml?ln=primefaces-aristo HTTP/1.1" 200 25200
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/inputnumber/inputnumber.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 54
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 87020
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/core.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 37704
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/inputnumber/inputnumber.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 23900
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:43 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:45 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:58:47 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3698
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:59:34 -0300] "GET /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 26801
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:59:34 -0300] "GET /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 26795
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:59:34 -0300] "GET /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 26801
0:0:0:0:0:0:0:1 - - [03/Oct/2019:12:59:34 -0300] "GET /FazendoUtopia/pages/cadastros/lojas.xhtml HTTP/1.1" 200 26801
