127.0.0.1 - - [01/Oct/2019:01:00:28 -0300] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:11 -0300] "GET /FazendoUtopia/javax.faces.resource/jquery/jquery-plugins.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 267442
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:11 -0300] "GET /FazendoUtopia/javax.faces.resource/sistema.css.xhtml?ln=css HTTP/1.1" 200 5007
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:11 -0300] "GET /FazendoUtopia/javax.faces.resource/components.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 422192
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:11 -0300] "GET /FazendoUtopia/javax.faces.resource/inputnumber/inputnumber.js.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 23900
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:11 -0300] "GET /FazendoUtopia/javax.faces.resource/components.css.xhtml?ln=primefaces&v=7.0 HTTP/1.1" 200 93284
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:11 -0300] "GET /FazendoUtopia/javax.faces.resource/jsf.js.xhtml?ln=javax.faces HTTP/1.1" 200 42359
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:11 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_616161_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3699
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:11 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-icons_38667f_256x240.png.xhtml?ln=primefaces-aristo HTTP/1.1" 200 3698
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:11 -0300] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:13 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 7938
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:13 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:29 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 154406
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:40 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:40 -0300] "GET /FazendoUtopia/javax.faces.resource/images/ui-bg_flat_0_2d5972_40x100.png.xhtml?ln=primefaces-aristo HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:41 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:43 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 7995
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:44 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 257
0:0:0:0:0:0:0:1 - - [01/Oct/2019:01:02:47 -0300] "POST /FazendoUtopia/pages/cadastros/produto.xhtml HTTP/1.1" 200 163532
